Token,Address
DFI,0x361C60b7c2828fCAb80988d00D1D542c83387b50
COMP,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8
YFI,0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e
GMT,0x3019BF2a2eF8040C242C9a4c5c4BD4C81678b2A1
IOTX,0x9678e42cebeb63f23197d726b29b1cb20d0064e5
SUSHI,0x947950BcC74888a40Ffa2593C5798F11Fc9124C4
BAND,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18
ONT,0xfd7b3a77848f1c2d67e05e54d78d174a0c850335
BDX,0x90bbdDbF3223363898065b9C736e2B86C655762b
JOE,0x371c7ec6D8039ff7933a2AA28EB827Ffe1F52f07
CTSI,0x8da443f84fea710266c8eb6bc34b71702d033ef2
USTC,0x23396cf899ca06c4472205fc903bdb4de249d6fc
DAO,0x4d2d32d8652058Bf98c772953E1Df5c5c85D9F45
FLUX,0xaff9084f2374585879e8b434c399e29e80cce635
ACH,0xBc7d6B50616989655AfD682fb42743507003056D
CELR,0x1f9f6a696c6fd109cd3956f45dc709d2b3902163
ELF,0xa3f020a5c92e15be13caf0ee5c95cf79585eecc9
SFP,0xd41fdb03ba84762dd66a0af1a6c8540ff1ba5dfb
SURE,0x9b17baadf0f21f03e35249e0e59723f34994f806
STG,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b
METIS,0xe552fb52a4f19e44ef5a967632dbc320b0820639
MC,0x949D48EcA67b17269629c7194F4b727d4Ef9E5d6
SYN,0xa4080f1778e69467e905b8d6f72f6e441f9e9484
GAL,0xe4Cc45Bb5DBDA06dB6183E8bf016569f40497Aa5
KNC,0xfe56d5892bdffc7bf58f2e84be1b2c32d21c308b
CHR,0xf9CeC8d50f6c8ad3Fb6dcCEC577e05aA32B224FE
C98,0xaec945e04baf28b135fa7c640f624f8d90f1c3a6
SLP,0x070a08BeEF8d36734dD67A491202fF35a6A16d97
EVER,0x0A7e7D210C45c4abBA183C1D0551B53AD1756ecA
RENBTC,0xfce146bf3146100cfe5db4129cf6c82b0ef4ad8c
COTI,0xadbaf88b39d37dc68775ed1541f1bf83a5a45feb
DEXE,0x039cb485212f996a9dbb85a9a75d898f94d38da6
XVS,0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63
ONG,0x308bfaeAaC8BDab6e9Fc5Ead8EdCb5f95b0599d9
NFT,0x20ee7b720f4e4c4ffcb00c4065cdae55271aecca
vUSDC,0xeca88125a5adbe82614ffc12d0db554e2e2867c8
